||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Büyükşehir belediyesi:Evet|
|||
|||
2024|İstanbul(Adalar/Adalar Bel.)-2258|16979.0|
|İstanbul(Arnavutköy/Arnavutköy Bel.)-2298|344868.0|
|İstanbul(Ataşehir/Ataşehir Bel.)-4507|414866.0|
|İstanbul(Avcılar/Avcılar Bel.)-2259|440934.0|
|İstanbul(Bağcılar/Bağcılar Bel.)-2260|713594.0|
|İstanbul(Bahçelievler/Bahçelievler Bel.)-2261|560086.0|
|İstanbul(Bakırköy/Bakırköy Bel.)-2262|219893.0|
|İstanbul(Başakşehir/Başakşehir Bel.)-4508|520467.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel.)-2263|268303.0|
|İstanbul(Beşiktaş/Beşiktaş Bel.)-2264|167264.0|
|İstanbul(Beykoz/Beykoz Bel.)-2265|245440.0|
|İstanbul(Beylikdüzü/Beylikdüzü Bel.)-2316|415290.0|
|İstanbul(Beyoğlu/Beyoğlu Bel.)-2266|216688.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel.)-2285|280528.0|
|İstanbul(Çatalca/Çatalca Bel.)-2286|80399.0|
|İstanbul(Çekmeköy/Çekmeköy Bel.)-2308|306739.0|
|İstanbul(Esenler/Esenler Bel.)-2268|423625.0|
|İstanbul(Esenyurt/Esenyurt Bel.)-2313|988369.0|
|İstanbul(Eyüpsultan/Eyüpsultan Bel.)-2269|420706.0|
|İstanbul(Fatih/Fatih Bel.)-2270|354472.0|
|İstanbul(Gaziosmanpaşa/Gaziosmanpaşa Bel.)-2271|479931.0|
|İstanbul(Güngören/Güngören Bel.)-2272|264831.0|
|İstanbul(Kadıköy/Kadıköy Bel.)-2273|462189.0|
|İstanbul(Kağıthane/Kağıthane Bel.)-2274|444820.0|
|İstanbul(Kartal/Kartal Bel.)-2275|475859.0|
|İstanbul(Küçükçekmece/Küçükçekmece Bel.)-2276|789033.0|
|İstanbul(Maltepe/Maltepe Bel.)-2277|524921.0|
|İstanbul(Pendik/Pendik Bel.)-2278|749356.0|
|İstanbul(Sancaktepe/Sancaktepe Bel.)-4509|502077.0|
|İstanbul(Sarıyer/Sarıyer Bel.)-2279|342582.0|
|İstanbul(Şile/Şile Bel.)-2288|48936.0|
|İstanbul(Silivri/Silivri Bel.)-2257|232156.0|
|İstanbul(Şişli/Şişli Bel.)-2280|263063.0|
|İstanbul(Sultanbeyli/Sultanbeyli Bel.)-2287|369193.0|
|İstanbul(Sultangazi/Sultangazi Bel.)-4510|532601.0|
|İstanbul(Tuzla/Tuzla Bel.)-2281|301400.0|
|İstanbul(Ümraniye/Ümraniye Bel.)-2282|727819.0|
|İstanbul(Üsküdar/Üsküdar Bel.)-2283|512981.0|
|İstanbul(Zeytinburnu/Zeytinburnu Bel.)-2284|278344.0|
|||
