ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Ti,Si,PSO_Yeni_Yesil_Alan,PSO_Toplam_Yesil_Alan
ADALAR,51158.82954963867,16979.0,0,0,0,21.8728,0,10.9364,0.0,51158.82954963867
ARNAVUTKÖY,64545.19212578033,344868.0,204,5,2,29.73571591167767,216,122.86785795583883,32272.596062890167,96817.7881886705
ATAŞEHİR,652554.3498556783,414866.0,293,8,29,29.7875014280818,338,183.8937507140409,326277.17492783914,978831.5247835175
AVCILAR,758438.617676303,440934.0,153,2,12,29.202595037559757,169,99.10129751877987,154543.83022338751,912982.4478996906
BAHÇELİEVLER,172658.04112394387,560086.0,240,9,14,36.60939118425596,272,154.30469559212798,86329.02056197193,258987.0616859158
BAKIRKÖY,2698483.5680299588,219893.0,191,19,28,36.60939118425596,257,146.80469559212798,0.0,2698483.5680299588
BAYRAMPAŞA,741978.3363974248,268303.0,132,4,8,31.290963030579643,148,89.64548151528982,0.0,741978.3363974248
BAĞCILAR,755789.6782663013,713594.0,319,17,15,38.65968586387434,368,203.32984293193718,377894.83913315064,1133684.517399452
BAŞAKŞEHİR,1976024.6654511543,520467.0,296,17,7,48.57816540477577,337,192.78908270238787,0.0,1976024.6654511543
BEYKOZ,1651523.724152116,245440.0,260,0,8,26.711909353905497,268,147.35595467695276,0.0,1651523.724152116
BEYLİKDÜZÜ,856528.9033921233,415290.0,233,0,7,39.4643751422718,240,139.7321875711359,428264.45169606165,1284793.355088185
BEYOĞLU,508454.11097757774,216688.0,75,11,21,28.04237867395762,118,73.02118933697881,39734.868124599896,548188.9791021777
BEŞİKTAŞ,1158348.9200150063,167264.0,31,8,54,28.04237867395762,101,64.52118933697881,0.0,1158348.9200150063
BÜYÜKÇEKMECE,2569637.880803156,280528.0,273,0,16,39.4643751422718,289,164.2321875711359,0.0,2569637.880803156
ESENLER,375489.4256326568,423625.0,138,10,5,31.290963030579643,163,97.14548151528982,187744.7128163284,563234.1384489852
ESENYURT,1190145.785879942,988369.0,277,3,12,39.4643751422718,295,167.2321875711359,0.0,1190145.785879942
EYÜPSULTAN,7189930.516470695,420706.0,300,25,16,37.04040519007512,366,201.52020259503757,0.0,7189930.516470695
FATİH,1857859.933628624,354472.0,14,27,32,38.212086659064994,100,69.1060433295325,0.0,1857859.933628624
GAZİOSMANPAŞA,204094.60721775488,479931.0,180,8,7,37.04040519007512,203,120.02020259503756,102047.30360887744,306141.9108266323
GÜNGÖREN,29380.789241699124,264831.0,144,6,7,36.60939118425596,163,99.80469559212798,14690.394620849562,44071.183862548685
KADIKÖY,860383.2664371255,462189.0,175,27,62,28.971953027020863,291,159.98597651351042,0.0,860383.2664371255
KARTAL,1406194.225819459,475859.0,266,9,29,36.235408116735066,313,174.61770405836754,0.0,1406194.225819459
KAĞITHANE,1598947.6567764024,444820.0,182,5,16,46.7515393386545,208,127.37576966932725,0.0,1598947.6567764024
KÜÇÜKÇEKMECE,1646774.3243354743,789033.0,312,18,14,65.46188902814174,362,213.73094451407087,0.0,1646774.3243354743
MALTEPE,2130674.198635165,524921.0,228,10,12,36.235408116735066,260,148.11770405836754,0.0,2130674.198635165
PENDİK,2660127.494007945,749356.0,396,17,18,36.235408116735066,448,242.11770405836754,0.0,2660127.494007945
SANCAKTEPE,851191.7589597908,502077.0,206,6,5,43.09060899260103,223,133.0453044963005,0.0,851191.7589597908
SARIYER,2743974.6658907183,342582.0,335,7,32,26.711909353905497,381,203.85595467695276,0.0,2743974.6658907183
SULTANBEYLİ,711311.9838774118,369193.0,147,2,5,43.09060899260103,156,99.54530449630052,355655.9919387059,1066967.9758161176
SULTANGAZİ,560013.4265267146,532601.0,143,6,4,48.57816540477577,159,103.78908270238789,280006.7132633573,840020.1397900719
SİLİVRİ,4064999.079093968,232156.0,264,0,7,39.4643751422718,271,155.2321875711359,0.0,4064999.079093968
TUZLA,3153689.0698800897,301400.0,241,4,12,41.09867971773276,261,151.04933985886638,0.0,3153689.0698800897
ZEYTİNBURNU,789642.239856637,278344.0,195,8,14,38.212086659064994,225,131.6060433295325,0.0,789642.239856637
ÇATALCA,1088806.6011754582,80399.0,80,0,1,29.73571591167767,81,55.367857955838836,0.0,1088806.6011754582
ÇEKMEKÖY,545283.4216504643,306739.0,96,1,5,29.7875014280818,103,66.3937507140409,79933.8469162512,625217.2685667155
ÜMRANİYE,1448077.7828947406,727819.0,389,20,11,29.7875014280818,440,234.8937507140409,357213.9411756363,1805291.724070377
ÜSKÜDAR,2357259.262471572,512981.0,296,9,33,25.062542720437456,347,186.03127136021874,0.0,2357259.262471572
ŞİLE,347167.07496639347,48936.0,153,0,0,43.09060899260103,153,98.04530449630052,0.0,347167.07496639347
ŞİŞLİ,354780.26493224973,263063.0,68,9,33,28.04237867395762,119,73.52118933697881,177390.13246612487,532170.3973983746
