ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi
ADALAR,51158.82954963867,16979.0,0,0,0
ARNAVUTKÖY,64545.19212578033,344868.0,204,5,2
ATAŞEHİR,652554.3498556783,414866.0,293,8,29
AVCILAR,758438.617676303,440934.0,153,2,12
BAHÇELİEVLER,172658.04112394387,560086.0,240,9,14
BAKIRKÖY,2698483.5680299588,219893.0,191,19,28
BAYRAMPAŞA,741978.3363974248,268303.0,132,4,8
BAĞCILAR,755789.6782663013,713594.0,319,17,15
BAŞAKŞEHİR,1976024.6654511543,520467.0,296,17,7
BEYKOZ,1651523.724152116,245440.0,260,0,8
BEYLİKDÜZÜ,856528.9033921233,415290.0,233,0,7
BEYOĞLU,508454.11097757774,216688.0,75,11,21
BEŞİKTAŞ,1158348.9200150063,167264.0,31,8,54
BÜYÜKÇEKMECE,2569637.880803156,280528.0,273,0,16
ESENLER,375489.4256326568,423625.0,138,10,5
ESENYURT,1190145.785879942,988369.0,277,3,12
EYÜPSULTAN,7189930.516470695,420706.0,300,25,16
FATİH,1857859.933628624,354472.0,14,27,32
GAZİOSMANPAŞA,204094.60721775488,479931.0,180,8,7
GÜNGÖREN,29380.789241699124,264831.0,144,6,7
KADIKÖY,860383.2664371255,462189.0,175,27,62
KARTAL,1406194.225819459,475859.0,266,9,29
KAĞITHANE,1598947.6567764024,444820.0,182,5,16
KÜÇÜKÇEKMECE,1646774.3243354743,789033.0,312,18,14
MALTEPE,2130674.198635165,524921.0,228,10,12
PENDİK,2660127.494007945,749356.0,396,17,18
SANCAKTEPE,851191.7589597908,502077.0,206,6,5
SARIYER,2743974.6658907183,342582.0,335,7,32
SULTANBEYLİ,711311.9838774118,369193.0,147,2,5
SULTANGAZİ,560013.4265267146,532601.0,143,6,4
SİLİVRİ,4064999.079093968,232156.0,264,0,7
TUZLA,3153689.0698800897,301400.0,241,4,12
ZEYTİNBURNU,789642.239856637,278344.0,195,8,14
ÇATALCA,1088806.6011754582,80399.0,80,0,1
ÇEKMEKÖY,545283.4216504643,306739.0,96,1,5
ÜMRANİYE,1448077.7828947406,727819.0,389,20,11
ÜSKÜDAR,2357259.262471572,512981.0,296,9,33
ŞİLE,347167.07496639347,48936.0,153,0,0
ŞİŞLİ,354780.26493224973,263063.0,68,9,33
