İstasyon Adı,Ortalama AQI
Maslak,31.711909353905497
Esenler,31.290963030579643
Yenibosna,36.609391184255955
Beylikdüzü,39.4643751422718
Ümraniye 1,29.7875014280818
Aksaray,45.212086659064994
Mobil,41.67358544213818
Beşiktaş,28.04237867395762
Kadıköy,28.971953027020863
Sultangazi 1,41.94816540477577
Avcılar,29.202595037559753
Sultangazi 3,64.05081859855926
Üsküdar 1,28.062542720437456
Alibeyköy,37.04040519007512
Selimiye,32.9799953746531
D-100 ,65.46188902814174
Kağıthane 1,46.7515393386545
Kandilli 1,16.287927107061503
Kartal,36.235408116735066
Çatladıkapı,25.12729554009353
Sultangazi 2,39.748533208167096
Bağcılar,38.659685863874344
Kumköy,21.74504894149784
Sarıyer,28.89311326124075
Büyükada,21.8728
Sancaktepe,43.09060899260103
Arnavutköy,29.73571591167767
Tuzla,41.09867971773276
